INDEX	KEYVALUE	LABEL	RED	GREEN	BLUE	ALPHA	HEMISPHERE	NETWORK	NETWORKKEY	NETWORKSORTEDORDER	GLASSERLABELNAME
1	1	Visual1-04_L-Ctx	0	0	255	255	L	Visual1	1	1	L_V1_ROI
2	2	Visual2-28_L-Ctx	100	0	255	255	L	Visual2	2	70	L_MST_ROI
3	3	Visual2-29_L-Ctx	100	0	255	255	L	Visual2	2	71	L_V6_ROI
4	4	Visual2-30_L-Ctx	100	0	255	255	L	Visual2	2	72	L_V2_ROI
5	5	Visual2-31_L-Ctx	100	0	255	255	L	Visual2	2	73	L_V3_ROI
6	6	Visual2-32_L-Ctx	100	0	255	255	L	Visual2	2	74	L_V4_ROI
7	7	Visual2-33_L-Ctx	100	0	255	255	L	Visual2	2	75	L_V8_ROI
8	8	Somatomotor-21_L-Ctx	0	255	255	255	L	Somatomotor	3	153	L_4_ROI
9	9	Somatomotor-22_L-Ctx	0	255	255	255	L	Somatomotor	3	154	L_3b_ROI
10	10	Cingulo-Opercular-30_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	220	L_FEF_ROI
11	11	Dorsal-Attention-12_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	315	L_PEF_ROI
12	12	Language-10_L-Ctx	0	155	155	255	L	Language	6	362	L_55b_ROI
13	13	Visual2-34_L-Ctx	100	0	255	255	L	Visual2	2	76	L_V3A_ROI
14	14	Frontoparietal-29_L-Ctx	255	255	0	255	L	Frontoparietal	7	399	L_RSC_ROI
15	15	Frontoparietal-30_L-Ctx	255	255	0	255	L	Frontoparietal	7	400	L_POS2_ROI
16	16	Visual2-35_L-Ctx	100	0	255	255	L	Visual2	2	77	L_V7_ROI
17	17	Visual2-36_L-Ctx	100	0	255	255	L	Visual2	2	78	L_IPS1_ROI
18	18	Visual2-37_L-Ctx	100	0	255	255	L	Visual2	2	79	L_FFC_ROI
19	19	Visual2-38_L-Ctx	100	0	255	255	L	Visual2	2	80	L_V3B_ROI
20	20	Visual2-39_L-Ctx	100	0	255	255	L	Visual2	2	81	L_LO1_ROI
21	21	Visual2-40_L-Ctx	100	0	255	255	L	Visual2	2	82	L_LO2_ROI
