INDEX	KEYVALUE	LABEL	RED	GREEN	BLUE	ALPHA	HEMISPHERE	NETWORK	NETWORKKEY	NETWORKSORTEDORDER	GLASSERLABELNAME
1	1	Visual1-04_L-Ctx	0	0	255	255	L	Visual1	1	1	L_V1_ROI
2	2	Visual2-28_L-Ctx	100	0	255	255	L	Visual2	2	47	L_MST_ROI
3	3	Visual2-29_L-Ctx	100	0	255	255	L	Visual2	2	48	L_V6_ROI
4	4	Visual2-30_L-Ctx	100	0	255	255	L	Visual2	2	49	L_V2_ROI
5	5	Visual2-31_L-Ctx	100	0	255	255	L	Visual2	2	50	L_V3_ROI
6	6	Visual2-32_L-Ctx	100	0	255	255	L	Visual2	2	51	L_V4_ROI
7	7	Visual2-33_L-Ctx	100	0	255	255	L	Visual2	2	52	L_V8_ROI
8	8	Somatomotor-21_L-Ctx	0	255	255	255	L	Somatomotor	3	137	L_4_ROI
9	9	Somatomotor-22_L-Ctx	0	255	255	255	L	Somatomotor	3	138	L_3b_ROI
10	10	Cingulo-Opercular-30_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	204	L_FEF_ROI
11	11	Dorsal-Attention-12_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	279	L_PEF_ROI
12	12	Language-10_L-Ctx	0	155	155	255	L	Language	6	328	L_55b_ROI
13	13	Visual2-34_L-Ctx	100	0	255	255	L	Visual2	2	53	L_V3A_ROI
14	14	Frontoparietal-29_L-Ctx	255	255	0	255	L	Frontoparietal	7	361	L_RSC_ROI
15	15	Frontoparietal-30_L-Ctx	255	255	0	255	L	Frontoparietal	7	362	L_POS2_ROI
16	16	Visual2-35_L-Ctx	100	0	255	255	L	Visual2	2	54	L_V7_ROI
17	17	Visual2-36_L-Ctx	100	0	255	255	L	Visual2	2	55	L_IPS1_ROI
18	18	Visual2-37_L-Ctx	100	0	255	255	L	Visual2	2	56	L_FFC_ROI
19	19	Visual2-38_L-Ctx	100	0	255	255	L	Visual2	2	57	L_V3B_ROI
20	20	Visual2-39_L-Ctx	100	0	255	255	L	Visual2	2	58	L_LO1_ROI
21	21	Visual2-40_L-Ctx	100	0	255	255	L	Visual2	2	59	L_LO2_ROI
22	22	Visual2-41_L-Ctx	100	0	255	255	L	Visual2	2	60	L_PIT_ROI
23	23	Visual2-42_L-Ctx	100	0	255	255	L	Visual2	2	61	L_MT_ROI
24	24	Auditory-08_L-Ctx	250	62	251	255	L	Auditory	8	446	L_A1_ROI
25	25	Language-11_L-Ctx	0	155	155	255	L	Language	6	329	L_PSL_ROI
26	26	Language-12_L-Ctx	0	155	155	255	L	Language	6	330	L_SFL_ROI
27	27	Posterior-Multimodal-05_L-Ctx	177	89	40	255	L	Posterior-Multimodal	10	576	L_PCV_ROI
28	28	Language-13_L-Ctx	0	155	155	255	L	Language	6	331	L_STV_ROI
29	29	Frontoparietal-31_L-Ctx	255	255	0	255	L	Frontoparietal	7	363	L_7Pm_ROI
30	30	Default-38_L-Ctx	255	0	0	255	L	Default	9	472	L_7m_ROI
31	31	Default-39_L-Ctx	255	0	0	255	L	Default	9	473	L_POS1_ROI
32	32	Default-40_L-Ctx	255	0	0	255	L	Default	9	474	L_23d_ROI
33	33	Default-41_L-Ctx	255	0	0	255	L	Default	9	475	L_v23ab_ROI
34	34	Default-42_L-Ctx	255	0	0	255	L	Default	9	476	L_d23ab_ROI
35	35	Default-43_L-Ctx	255	0	0	255	L	Default	9	477	L_31pv_ROI
36	36	Somatomotor-23_L-Ctx	0	255	255	255	L	Somatomotor	3	139	L_5m_ROI
37	37	Cingulo-Opercular-31_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	205	L_5mv_ROI
38	38	Cingulo-Opercular-32_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	206	L_23c_ROI
39	39	Somatomotor-24_L-Ctx	0	255	255	255	L	Somatomotor	3	140	L_5L_ROI
